driver_number,lap_number,lap_time_seconds,duration_sector_1,duration_sector_2,duration_sector_3,is_pit_out_lap,lap_time_formatted
63,24,147.294,41.445,56.383,49.466,false,2:27.294
40,26,151.559,39.481,59.632,52.446,false,2:31.558
18,24,154.319,39.498,61.191,53.63,false,2:34.318
81,21,138.598,32.295,57.475,48.828,false,2:18.598
2,23,148.542,34.171,60.973,53.398,false,2:28.542
31,23,140.571,36.144,54.345,50.082,false,2:20.570
27,22,137.127,50.982,47.256,38.889,false,2:17.127
20,23,152.449,52.476,59.216,40.757,false,2:32.449
11,22,144.904,58.334,48.759,37.811,false,2:24.903
23,19,144.9,60.504,46.547,37.849,false,2:24.900
10,23,139.066,55.641,43.632,39.793,false,2:19.066
16,25,139.881,52.061,47.536,40.284,false,2:19.881
55,24,151.371,53.537,51.012,46.822,false,2:31.371
24,25,145.993,56.727,47.001,42.265,false,2:25.992
1,22,155.445,61.547,51.923,41.975,false,2:35.444
77,25,143.997,47.49,54.173,42.334,false,2:23.997
44,21,145.135,60.032,47.76,37.343,false,2:25.134
14,28,154.144,63.836,49.337,40.971,false,2:34.144
4,24,156.733,69.621,46.652,40.46,false,2:36.733
22,25,135.052,48.495,46.264,40.293,false,2:15.051
63,25,152.351,63.459,46.942,41.95,false,2:32.350
81,22,159.84,69.161,50.991,39.688,false,2:39.840
40,27,159.83,68.695,51.302,39.833,false,2:39.830
18,25,163.743,66.208,53.49,44.045,false,2:43.742
31,24,135.111,55.249,43.39,36.472,false,2:15.110
2,24,160.973,65.822,50.813,44.338,false,2:40.973
